No,Attributes
821,+1:word.lower():leathercase
822,word.lower():leathercase
823,word[:3]:Lea
824,-1:word.lower():swift
825,word.lower():epson
826,word[-3:]:son
827,word[:3]:Eps
828,word[:2]:Ep
829,+1:word.lower():printer
830,word.lower():printer
831,word[:3]:Pri
832,-1:word.lower():epson
833,+1:word.lower():kasir
834,word.lower():kasir
835,word[-3:]:sir
836,word[-2:]:ir
837,word[:3]:Kas
838,-1:word.lower():printer
839,+1:word.lower():tm-u220d
840,word.lower():tm-u220d
841,word[-3:]:20D
842,word[-2:]:0D
843,word[:3]:TM-
844,word[:2]:TM
845,-1:word.lower():kasir
846,+1:word.lower():hitam
847,word.lower():hitam
848,word[-3:]:tam
849,-1:word.lower():tm-u220d
850,word.lower():merries
851,word[-3:]:ies
852,word[:3]:Mer
853,+1:word.lower():tape
854,word.lower():tape
855,word[-3:]:ape
856,word[:3]:Tap
857,-1:word.lower():merries
858,+1:word.lower():nb24
859,word.lower():nb24
860,word[-3:]:B24
861,word[-2:]:24
862,word[:3]:NB2
863,word[:2]:NB
864,-1:word.lower():tape
865,+1:word.lower():/
866,+1:postag:Z
867,+1:postag[:2]:Z
868,word.lower():/
869,word[-3:]:/
870,word[-2:]:/
871,word[:3]:/
872,word[:2]:/
873,postag:Z
874,postag[:2]:Z
875,-1:word.lower():nb24
876,+1:word.lower():s24
877,word.lower():s24
878,word[-3:]:S24
879,word[:3]:S24
880,word[:2]:S2
881,-1:word.lower():/
882,-1:postag:Z
883,-1:postag[:2]:Z
884,word.lower():tablet
885,word[-3:]:let
886,+1:word.lower():asus
887,word.lower():asus
888,word[-3:]:SUS
889,word[-2:]:US
890,word[:3]:ASU
891,-1:word.lower():tablet
892,+1:word.lower():4gb
893,word.lower():4gb
894,word[-3:]:4GB
895,word[-2:]:GB
896,word[:3]:4GB
897,word[:2]:4G
898,-1:word.lower():asus
899,word.lower():happy
900,word[-3:]:PPY
901,word[-2:]:PY
902,word[:3]:HAP
903,+1:word.lower():flight
904,word.lower():flight
905,word[-3:]:GHT
906,word[-2:]:HT
907,word[:3]:FLI
908,word[:2]:FL
909,-1:word.lower():happy
910,+1:word.lower():pasport
911,word.lower():pasport
912,word[-3:]:ORT
913,word[-2:]:RT
914,word[:3]:PAS
915,-1:word.lower():flight
916,word[-3:]:VER
917,word[-2:]:ER
918,word[:3]:COV
919,word[:2]:CO
920,-1:word.lower():pasport
921,+1:word.lower():6
922,word.lower():6
923,word[-3:]:6
924,word[-2:]:6
925,word[:3]:6
926,word[:2]:6
927,+1:word.lower():colors
928,word.lower():colors
929,word[-3:]:ORS
930,word[-2:]:RS
931,word[:3]:COL
932,-1:word.lower():6
933,+1:word.lower():high
934,word.lower():high
935,word[-3:]:IGH
936,word[-2:]:GH
937,word[:3]:HIG
938,word[:2]:HI
939,-1:word.lower():colors
940,+1:word.lower():qualiyy
941,word.lower():qualiyy
942,word[-3:]:IYY
943,word[-2:]:YY
944,word[:3]:QUA
945,word[:2]:QU
946,-1:word.lower():high
947,+1:word.lower():product
948,word.lower():product
949,word[-3:]:UCT
950,word[-2:]:CT
951,-1:word.lower():qualiyy
952,word.lower():skmei
953,word[-3:]:MEI
954,word[-2:]:EI
955,word[:3]:SKM
956,word[:2]:SK
957,+1:word.lower():pria
958,word.lower():pria
959,word[-3:]:ria
960,word[-2:]:ia
961,word[:3]:pri
962,word[:2]:pr
963,-1:word.lower():skmei
964,+1:word.lower():kolam
965,word.lower():kolam
966,word[-3:]:lam
967,word[:3]:kol
968,word[:2]:ko
969,-1:word.lower():pria
970,+1:word.lower():jam
971,word.lower():jam
972,word[-3:]:jam
973,word[:3]:jam
974,word[:2]:ja
975,-1:word.lower():kolam
976,+1:word.lower():tangan
977,word.lower():tangan
978,word[-3:]:gan
979,word[:3]:tan
980,word[:2]:ta
981,-1:word.lower():jam
982,+1:word.lower():dunia
983,word.lower():dunia
984,word[-3:]:nia
985,word[:3]:dun
986,word[:2]:du
987,-1:word.lower():tangan
988,+1:word.lower():waktu
989,word.lower():waktu
990,word[-3:]:ktu
991,word[-2:]:tu
992,word[:3]:wak
993,word[:2]:wa
994,-1:word.lower():dunia
995,+1:word.lower():dst
996,word.lower():dst
997,word[-3:]:DST
998,word[-2:]:ST
999,word[:3]:DST
1000,word[:2]:DS
1001,-1:word.lower():waktu
1002,+1:word.lower():kompas
1003,word.lower():kompas
1004,word[:3]:Kom
1005,-1:word.lower():dst
1006,+1:word.lower():tinta
1007,word.lower():tinta
1008,word[-3:]:nta
1009,word[:3]:Tin
1010,+1:word.lower():pg-810
1011,word.lower():pg-810
1012,word[-3:]:810
1013,word[-2:]:10
1014,word[:3]:PG-
1015,word[:2]:PG
1016,-1:word.lower():tinta
1017,+1:word.lower():black
1018,word.lower():black
1019,word[-3:]:ack
1020,word[:3]:Bla
1021,word[:2]:Bl
1022,-1:word.lower():pg-810
1023,+1:word.lower():ink
1024,word.lower():ink
1025,word[-3:]:Ink
1026,word[:3]:Ink
1027,word[:2]:In
1028,-1:word.lower():black
1029,+1:word.lower():cartridge
1030,word.lower():cartridge
1031,word[-3:]:dge
1032,word[-2:]:ge
1033,-1:word.lower():ink
1034,+1:word.lower():original
1035,word.lower():original
1036,word[-3:]:nal
1037,word[:3]:Ori
1038,word[:2]:Or
1039,-1:word.lower():cartridge
1040,word.lower():lolipop
1041,word[-3:]:pop
1042,word[:3]:lol
1043,word[:2]:lo
1044,+1:word.lower():shoes
1045,word.lower():shoes
1046,word[-3:]:oes
1047,word[:3]:sho
1048,word[:2]:sh
1049,-1:word.lower():lolipop
1050,+1:word.lower():jelly
1051,word.lower():jelly
1052,word[-3:]:lly
1053,word[-2:]:ly
1054,word[:3]:jel
1055,word[:2]:je
1056,-1:word.lower():shoes
1057,-1:word.lower():jelly
1058,+1:word.lower():ribbon
1059,word.lower():ribbon
1060,word[-3:]:bon
1061,word[:3]:rib
1062,word[:2]:ri
1063,+1:word.lower():import
1064,word.lower():import
1065,word[-3:]:ort
1066,word[-2:]:rt
1067,word[:3]:imp
1068,word[:2]:im
1069,-1:word.lower():ribbon
1070,+1:word.lower():4
1071,word.lower():4
1072,word[-3:]:4
1073,word[-2:]:4
1074,word[:3]:4
1075,word[:2]:4
1076,-1:word.lower():import
1077,+1:word.lower():colour
1078,word.lower():colour
1079,word[-3:]:our
1080,word[-2:]:ur
1081,word[:3]:col
1082,word[:2]:co
1083,-1:word.lower():4
1084,word[-3:]:igh
1085,word[-2:]:gh
1086,word[:3]:hig
1087,word[:2]:hi
1088,-1:word.lower():colour
1089,+1:word.lower():quality
1090,word.lower():quality
1091,word[-3:]:ity
1092,word[-2:]:ty
1093,word[:3]:qua
1094,word[:2]:qu
1095,word.lower():spotec
1096,word[-3:]:tec
1097,word[-2:]:ec
1098,word[:3]:Spo
1099,word[:2]:Sp
1100,+1:word.lower():vega
1101,word.lower():vega
1102,word[-3:]:ega
1103,word[-2:]:ga
1104,word[:3]:Veg
1105,word[:2]:Ve
1106,-1:word.lower():spotec
1107,+1:word.lower():sepatu
1108,word.lower():sepatu
1109,word[-3:]:atu
1110,word[:3]:Sep
1111,word[:2]:Se
1112,-1:word.lower():vega
1113,+1:word.lower():badminton
1114,word.lower():badminton
1115,word[-3:]:ton
1116,word[:3]:Bad
1117,-1:word.lower():sepatu
1118,+1:word.lower():oranye-biru
1119,word.lower():oranye-biru
1120,word[-3:]:iru
1121,word[-2:]:ru
1122,word[:3]:Ora
1123,-1:word.lower():badminton
1124,+1:word.lower():tua
1125,word.lower():tua
1126,word[-3:]:Tua
1127,word[-2:]:ua
1128,word[:3]:Tua
1129,-1:word.lower():oranye-biru
1130,word.lower():jysk
1131,word[-3:]:YSK
1132,word[-2:]:SK
1133,word[:3]:JYS
1134,word[:2]:JY
1135,+1:word.lower():gantungan
1136,word.lower():gantungan
1137,word[:3]:Gan
1138,-1:word.lower():jysk
1139,+1:word.lower():baju
1140,word.lower():baju
1141,word[-3:]:aju
1142,word[-2:]:ju
1143,word[:3]:baj
1144,word[:2]:ba
1145,-1:word.lower():gantungan
1146,+1:word.lower():hangers
1147,word.lower():hangers
1148,word[-3:]:ers
1149,word[-2:]:rs
1150,-1:word.lower():baju
