,target,feature,weight
578,O,word[-3:]:ull,0.388318
579,O,word.lower():full,0.388318
580,O,word[-3:]:alk,0.387436
581,O,word.lower():walk,0.387436
582,O,word[:3]:Kol,0.387078
583,O,word[:3]:3pc,0.386674
584,O,word.lower():standard,0.386465
585,O,word[:3]:IST,0.386052
586,O,word.lower():istimewa,0.386052
587,O,word[-3:]:EWA,0.386052
588,O,word[:3]:Din,0.385955
589,O,-1:word.lower():120v,0.385837
590,O,-1:word.lower():protective,0.38583
591,O,+1:word.lower():ultimate,0.385591
592,O,+1:word.lower():robocar,0.385561
593,O,word.lower():make,0.385561
594,O,word[-3:]:ED),0.385438
595,O,-1:word.lower():baca,0.38499
596,O,-1:word.lower():sim,0.384212
597,O,word[-3:]:mah,0.383648
598,O,+1:word.lower():head,0.383399
599,O,word.lower():vanila,0.383078
600,O,word[:3]:led,0.382768
601,O,word[:3]:Isi,0.382646
602,O,+1:word.lower():e27,0.382081
603,O,+1:word.lower():kendi,0.381916
604,O,+1:word.lower():colors,0.381775
605,O,+1:word.lower():pencil,0.381715
606,O,+1:word.lower():moka,0.381639
607,O,word.lower():aroma,0.381639
608,O,-1:word.lower():murah,0.381151
609,O,word.lower():canvas,0.381085
610,O,word.lower():stylish,0.38062
611,O,"-1:word.lower():ringan,",0.380509
612,O,word[:3]:SIZ,0.380363
613,O,word.lower():bat,0.380253
614,O,+1:word.lower():500,0.379746
615,O,word.lower():buah,0.379683
616,O,-1:postag:NND,0.379418
617,O,-1:word.lower():pillow,0.378983
618,O,word[-3:]:ami,0.378981
619,O,-1:word.lower():9,0.378898
620,O,word.lower():bpom,0.378374
621,O,word[:3]:BPO,0.378374
622,O,word[:3]:Int,0.377395
623,O,word.lower():card,0.377081
624,O,word.lower():kode:,0.376514
625,O,word[-3:]:de:,0.376514
626,O,word[:3]:DUS,0.376448
627,O,word[:3]:REA,0.376325
628,O,word.lower():kita,0.376038
629,O,+1:word.lower():bpom,0.375939
630,O,-1:word.lower():penyubur,0.375939
631,O,word[-3:]:DIY,0.37546
632,O,word[:3]:DIY,0.37546
633,O,word.lower():diy,0.37546
